snake_sub_family,higher_snake_family,Average Venom Qty,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,Preferred LD50 Estimate,class
Rhabdophis subminiatus,Rhabdophis,"10 to 15 \xc2\xb5l ( liquid volume), Ferlan et al (1983) ( Ref : R000475 ).",Possibly present,Not present,Possibly present,Not present,Not present,Not present,Not present,Not present or not significant,Mixture of procoagulants,,1
Rhabdophis tigrinus,Rhabdophis,"8.5 to 20. 5 mg ( dry weight ), Sakai et al (1983) ( Ref : R000565 ).",Possibly present,Not present,Possibly present,Not present,Not present,Not present,Not present,Not present or not significant,Mixture of procoagulants,,1
Malpolon monspessulanus,Malpolon,"0.63 \xc2\xb5l / g  body weight, Rosenberg et al (1985) ( Ref : R000566 ).",Not present,Not present,Present but not defined,Not present,Not present,Not present,Probably not present,Not present or not significant,Not present,,1
Boiga dendrophila,Boiga,"B. d. multicincta : 1.0 mg ( dry weight ), Weinstein and Smith (1993) ( Ref : R000609 ).",Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,1
Bungarus caeruleus,Bungarus,"8 to 20 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
Bungarus fasciatus,Bungarus,"114 mg ( dry weight ), Brown ( 1973 ) ( Ref : R000681 ).",Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
Bungarus multicinctus,Bungarus,"11 mg  ( dry weight ), Sawai (1976) ( Ref : R000769 ).",Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
Naja atra,Naja,"79.7 mg ( dry weight ), Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
Naja naja,Naja,"169 mg ( dry weight  of milked venom ), Broad et al (1979 ) ( Ref : R000006 ).",Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,"0.565 mg / kg  sc ( mice ), Broad et al (1979) ( Ref : R000006 ).",1
Naja oxiana,Naja,"Iran : 87 \xc2\xb1 25 mg ( n=6091 ) ( dry weight of milked venom ), Latifi (1984) ( Ref : R000482 ).",Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
