week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,"Love, Guaranteed",USA,Comedy,2020-09-03,True,55%,50%,AUS,https://flixpatrol.com/title/love-guaranteed,OCE
37,TV Show,Away,USA,Science Fiction,2020-09-04,True,71%,73%,AUS,https://flixpatrol.com/title/away-2020,OCE
36,Movie,Mary Queen of Scots,United Kingdom,Drama,2018-12-21,False,65%,62%,AUS,https://flixpatrol.com/title/mary-queen-of-scots-2018,OCE
36,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,AUS,https://flixpatrol.com/title/cobra-kai,OCE
35,Movie,The Sleepover,USA,Comedy,2020-08-21,True,55%,80%,AUS,https://flixpatrol.com/title/the-sleepover,OCE
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,AUS,https://flixpatrol.com/title/lucifer,OCE
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,AUS,https://flixpatrol.com/title/project-power,OCE
34,TV Show,Dirty John,USA,Drama,2018-11-25,True,69%,71%,AUS,https://flixpatrol.com/title/dirty-john,OCE
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,AUS,https://flixpatrol.com/title/work-it-2020,OCE
33,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,AUS,https://flixpatrol.com/title/the-umbrella-academy,OCE
32,Movie,Doctor Sleep,USA,Horror,2019-10-30,False,77%,,AUS,https://flixpatrol.com/title/doctor-sleep,OCE
32,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,AUS,https://flixpatrol.com/title/the-umbrella-academy,OCE
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,AUS,https://flixpatrol.com/title/the-kissing-booth-2,OCE
31,TV Show,Good Girls,USA,Comedy,2018-02-26,True,78%,87%,AUS,https://flixpatrol.com/title/good-girls,OCE
30,Movie,The Grinch,USA,Animated,2018-11-08,False,63%,58%,AUS,https://flixpatrol.com/title/dr-seuss-how-the-grinch-stole-christmas,OCE
30,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,AUS,https://flixpatrol.com/title/cursed-2020,OCE
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,AUS,https://flixpatrol.com/title/the-old-guard,OCE
29,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,AUS,https://flixpatrol.com/title/warrior-nun,OCE
28,Movie,The Lorax,USA,Animated,2012-03-01,False,65%,53%,AUS,https://flixpatrol.com/title/the-lorax,OCE
28,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,AUS,https://flixpatrol.com/title/warrior-nun,OCE
27,Movie,Jumanji: Welcome to the Jungle,USA,Adventure,2017-12-20,False,69%,76%,AUS,https://flixpatrol.com/title/jumanji-welcome-to-the-jungle,OCE
27,TV Show,The Sinner,USA,Crime,2017-08-02,True,80%,90%,AUS,https://flixpatrol.com/title/the-sinner,OCE
26,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,AUS,https://flixpatrol.com/title/365-days,OCE
26,TV Show,The Sinner,USA,Crime,2017-08-02,True,80%,90%,AUS,https://flixpatrol.com/title/the-sinner,OCE
